i,j,id,m,pabs,e
212,1268,-11,0.000511,86.4249,86.4249
212,1269,11,0.000511,26.5416,26.5416
212,1271,-11,0.000511,86.4249,86.4249
212,2470,11,0.000511,0.0404683,0.0404715
212,2471,-11,0.000511,0.281556,0.281556
212,2571,11,0.000511,71.79,71.79
212,2572,-11,0.000511,24.2702,24.2702
212,2893,11,0.000511,1.782,1.782
212,2952,11,0.000511,0.0226937,0.0226995
212,2953,-11,0.000511,0.0648161,0.0648181
213,5,25,124.999,188.813,226.44
213,8,25,124.999,199.458,235.39
213,12,25,124.999,210.427,244.754
213,17,25,124.999,211.388,245.58
213,23,25,124.999,211.475,245.655
213,30,25,124.999,212.155,246.241
213,92,25,124.999,212.319,246.382
213,120,23,30.0517,62.5615,69.4049
213,121,23,91.6128,151.42,176.977
213,122,13,0.10566,52.4505,52.4506
213,123,-13,0.10566,16.9539,16.9543
213,124,-13,0.10566,15.9371,15.9375
213,126,13,0.10566,52.4492,52.4493
213,399,-11,0.000511,39.121,39.121
213,465,-13,0.10566,19.221,19.2213
214,5,25,124.999,22.366,126.984
214,8,25,124.999,27.893,128.073
214,12,25,124.999,21.8107,126.887
214,17,25,124.999,26.1509,127.705
214,38,25,124.999,27.7846,128.049
214,48,25,124.999,27.7833,128.049
214,226,25,124.999,27.9158,128.078
214,294,23,41.5009,35.8442,54.8373
214,295,23,63.9518,35.6983,73.2407
214,296,13,0.10566,39.9037,39.9038
214,297,-13,0.10566,14.9331,14.9335
214,298,-13,0.10566,14.8693,14.8696
214,300,13,0.10566,39.8996,39.8998
214,301,-13,0.10566,14.8647,14.8651
214,303,13,0.10566,39.8996,39.8997
214,304,13,0.10566,39.899,39.8991
214,306,-13,0.10566,14.8647,14.8651
214,843,11,0.000511,0.203207,0.203208
214,844,-11,0.000511,0.4423,0.4423
215,5,25,124.994,1574.46,1579.41
215,8,25,124.994,1555.27,1560.29
215,12,25,124.994,1564.93,1569.92
215,66,25,124.994,1565.45,1570.44
215,123,25,124.994,1565,1569.98
215,351,25,124.994,1564.97,1569.95
215,645,25,124.994,1564.85,1569.84
215,839,23,23.5103,370.476,371.221
215,840,23,92.2109,1195.06,1198.62
215,841,15,1.77682,188.738,188.747
215,842,-15,1.77682,182.466,182.474
215,1544,-11,0.000511,86.9414,86.9414
215,1891,-13,0.10566,0.27872,0.298075
216,5,25,125.001,282.419,308.846
216,8,25,125.001,267.781,295.52
216,23,25,125.001,270.85,298.303
216,245,25,125.001,269.98,297.514
216,610,25,125.001,270.53,298.012
216,804,23,91.6445,250.354,266.601
216,805,23,19.2754,24.8022,31.4117
216,808,13,0.10566,10.591,10.5915
216,809,-13,0.10566,20.8199,20.8202
216,1510,11,0.000511,2.12015,2.12015
216,1511,-11,0.000511,1.19469,1.19469
216,1572,13,0.10566,0.158454,0.190451
217,5,25,125.001,29.4047,128.413
217,8,25,125.001,31.0679,128.804
217,12,25,125.001,36.4374,130.204
217,17,25,125.001,36.8618,130.323
217,23,25,125.001,39.319,131.039
217,39,25,125.001,39.4714,131.085
217,248,25,125.001,39.6088,131.127
217,324,23,92.3715,41.376,101.215
217,325,23,10.9756,27.8253,29.9118
217,326,11,0.000511,43.7856,43.7856
217,327,-11,0.000511,57.4293,57.4293
217,328,-11,0.000511,8.196,8.196
217,330,11,0.000511,43.3324,43.3324
217,331,-11,0.000511,5.98162,5.98162
217,333,11,0.000511,43.3323,43.3323
217,334,-11,0.000511,5.86085,5.86085
217,336,11,0.000511,43.3323,43.3323
217,337,-11,0.000511,5.86085,5.86085
217,339,11,0.000511,43.3323,43.3323
217,340,11,0.000511,43.3323,43.3323
217,342,-11,0.000511,5.86085,5.86085
217,343,13,0.10566,15.1898,15.1901
217,344,-13,0.10566,14.7212,14.7216
217,792,11,0.000511,6.99887,6.99887
217,793,-11,0.000511,2.00848,2.00848
218,5,25,124.999,12.8647,125.66
218,8,25,124.999,261.733,290.05
218,12,25,124.999,459.095,475.808
218,17,25,124.999,464.069,480.608
218,35,25,124.999,460.733,477.388
218,67,25,124.999,460.259,476.931
218,386,25,124.999,460.008,476.688
218,512,23,90.0412,358.406,369.543
218,513,15,1.77682,199.533,199.541
218,514,-15,1.77682,169.992,170.002
218,964,11,0.000511,93.3184,93.3184
218,967,-11,0.000511,6.46925,6.46925
218,1146,11,0.000511,17.2948,17.2948
218,1147,-11,0.000511,10.8432,10.8432
218,1160,-15,1.77682,4.95323,5.26228
218,1172,11,0.000511,0.351654,0.351654
218,1173,-11,0.000511,0.320108,0.320108
219,5,25,125.002,329.039,351.983
219,9,25,125.002,329.47,352.386
219,59,25,125.002,329.537,352.449
219,146,25,125.002,327.426,350.476
219,196,23,49.3708,185.2,191.668
219,197,23,64.3451,145.188,158.808
219,198,13,0.10566,42.8465,42.8466
219,200,13,0.10566,42.8465,42.8466
219,220,11,0.000511,15.3925,15.3925
219,221,-11,0.000511,143.415,143.415
220,5,25,125.001,255.078,284.06
220,8,25,125.001,434.988,452.593
220,12,25,125.001,421.2,439.358
220,17,25,125.001,421.895,440.024
220,66,25,125.001,421.383,439.533
220,275,25,125.001,420.677,438.856
220,359,23,66.5044,266.979,275.138
220,360,23,42.1911,158.188,163.718
220,363,11,0.000511,21.4738,21.4738
220,364,-11,0.000511,142.244,142.244
220,365,-11,0.000511,140.069,140.069
220,367,11,0.000511,21.4738,21.4738
220,849,11,0.000511,2.07096,2.07096
220,850,-11,0.000511,2.85801,2.85801
221,5,25,125.002,47.4777,133.715
221,8,25,125.002,41.3004,131.648
221,12,25,125.002,49.6006,134.483
221,17,25,125.002,52.9005,135.735
221,23,25,125.002,56.0804,137.005
221,30,25,125.002,56.4343,137.151
221,112,25,125.002,56.5189,137.185
221,179,25,125.002,56.5528,137.199
221,238,23,88.4553,44.6094,99.0674
221,239,23,35.0192,15.0904,38.1321
221,272,11,0.000511,20.4416,20.4416
221,273,-11,0.000511,17.6906,17.6906
221,274,11,0.000511,19.8407,19.8407
221,276,-11,0.000511,17.6906,17.6906
221,277,11,0.000511,19.7518,19.7518
221,279,-11,0.000511,17.6906,17.6906
222,5,25,124.999,140.98,188.415
222,23,25,124.999,142.783,189.768
222,49,25,124.999,141.767,189.004
222,54,25,124.999,141.759,188.999
222,141,25,124.999,141.719,188.969
222,363,25,124.999,141.733,188.979
222,488,23,61.3385,75.0007,96.8892
222,489,23,53.3669,75.0503,92.09
222,498,15,1.77682,83.212,83.231
222,499,-15,1.77682,8.67907,8.85908
222,1137,-11,0.000511,1.01451,1.01451
223,5,25,125.002,34.3178,129.627
223,8,25,125.002,51.4097,135.161
223,12,25,125.002,54.0027,136.168
223,17,25,125.002,53.6718,136.037
223,131,25,125.002,53.6899,136.044
223,151,25,125.002,53.4677,135.957
223,195,23,22.8158,31.5179,38.9094
223,196,23,91.4571,32.4622,97.0474
223,197,15,1.77682,9.66545,9.82741
223,198,-15,1.77682,29.0276,29.082
223,432,11,0.000511,2.76258,2.76258
223,433,-11,0.000511,2.08889,2.08889
224,5,25,124.997,205.483,240.515
224,10,25,124.997,201.257,236.915
224,24,25,124.997,203.621,238.927
224,144,25,124.997,203.582,238.893
224,607,25,124.997,203.871,239.139
224,792,23,93.73,165.878,190.528
224,793,23,17.7065,45.2717,48.6111
224,803,13,0.10566,5.41812,5.41915
224,804,-13,0.10566,43.1919,43.192
224,1778,11,0.000511,0.551893,0.551893
224,1779,-11,0.000511,2.4664,2.4664
224,1857,13,0.10566,73.0703,73.0704
224,1946,11,0.000511,0.389669,0.389669
224,1947,-11,0.000511,0.350243,0.350243
225,5,25,125.007,16.3338,126.069
225,8,25,125.007,52.5351,135.597
225,12,25,125.007,70.2075,143.373
225,17,25,125.007,74.1816,145.36
225,31,25,125.007,76.7027,146.663
225,38,25,125.007,77.0334,146.836
225,70,25,125.007,76.6916,146.657
225,117,25,125.007,76.7173,146.67
225,526,25,125.007,76.7007,146.662
225,682,23,15.3858,28.5286,32.413
225,683,23,89.3535,71.1951,114.249
225,684,15,1.77682,9.06203,9.23458
225,685,-15,1.77682,23.1102,23.1784
225,1131,-13,0.10566,13.0798,13.0802
225,1224,-11,0.000511,6.35843,6.35843
225,1376,13,0.10566,69.6495,69.6496
226,5,25,125,177.036,216.718
226,8,25,125,189.138,226.712
226,12,25,125,187.385,225.252
226,17,25,125,192.778,229.757
226,23,25,125,193.576,230.428
226,42,25,125,194.231,230.978
226,57,25,125,194.571,231.264
226,131,25,125,194.582,231.273
226,166,23,76.2996,118.523,140.958
226,167,23,28.0305,85.8545,90.3145
226,206,13,0.10566,63.5794,63.5795
226,207,-13,0.10566,26.7348,26.735
226,419,11,0.000511,20.2155,20.2155
227,5,25,125,229.542,261.371
227,10,25,125,233.531,264.881
227,16,25,125,251.232,280.611
227,35,25,125,251.284,280.658
227,89,25,125,251.482,280.835
227,142,25,125,251.138,280.527
227,185,23,13.1469,115.423,116.17
227,186,23,90.5226,137.182,164.357
227,187,13,0.10566,43.6683,43.6684
227,188,-13,0.10566,72.5013,72.5014
227,664,11,0.000511,35.0049,35.0049
227,665,-11,0.000511,40.3835,40.3835
228,5,25,124.999,111.631,167.59
228,8,25,124.999,159.7,202.802
228,12,25,124.999,159.242,202.442
228,17,25,124.999,162.357,204.902
228,23,25,124.999,163.182,205.555
228,36,25,124.999,163.284,205.637
228,330,25,124.999,163.97,206.182
228,413,25,124.999,163.395,205.725
228,552,25,124.999,160.468,203.408
228,717,23,42.3299,139.928,146.19
228,718,23,48.1716,30.8766,57.2178
228,742,11,0.000511,20.5817,20.5817
228,743,-11,0.000511,36.6361,36.6361
228,1442,11,0.000511,9.30113,9.30113
228,1443,-11,0.000511,0.0566183,0.0566206
228,1626,11,0.000511,18.7569,18.7569
228,1627,-11,0.000511,33.0309,33.0309
229,5,25,124.997,859.453,868.495
229,8,25,124.997,394.42,413.753
229,12,25,124.997,396.65,415.879
229,17,25,124.997,400.695,419.739
229,23,25,124.997,409.185,427.852
229,37,25,124.997,410.27,428.889
229,49,25,124.997,410.794,429.39
229,138,25,124.997,408.035,426.752
229,181,23,25.1816,92.0019,95.3859
229,182,23,91.1583,318.58,331.366
229,183,11,0.000511,49.958,49.958
229,184,-11,0.000511,45.4279,45.4279
229,185,-11,0.000511,31.834,31.834
229,187,11,0.000511,49.958,49.958
229,188,11,0.000511,38.6216,38.6216
229,190,-11,0.000511,31.834,31.834
229,191,11,0.000511,38.6214,38.6214
229,193,-11,0.000511,31.834,31.834
229,194,-11,0.000511,31.8332,31.8332
229,196,11,0.000511,38.6214,38.6214
229,197,15,1.77682,67.8457,67.8689
229,198,-15,1.77682,263.491,263.497
229,199,15,1.77682,68.112,68.1351
229,201,-15,1.77682,262.366,262.372
229,403,11,0.000511,16.3706,16.3706
229,458,11,0.000511,0.255366,0.255367
229,459,-11,0.000511,0.175029,0.17503
230,5,25,125.002,171.273,212.037
230,8,25,125.002,183.956,222.408
230,16,25,125.002,185.075,223.334
230,24,25,125.002,184.036,222.474
230,31,25,125.002,184.3,222.693
230,72,25,125.002,184.247,222.649
230,182,25,125.002,184.3,222.692
230,227,23,90.8415,188.285,209.054
230,228,13,0.10566,110.968,110.968
230,229,-13,0.10566,98.0857,98.0858
230,230,-13,0.10566,98.0849,98.085
230,232,13,0.10566,110.968,110.968
230,539,11,0.000511,0.113675,0.113676
230,540,-11,0.000511,0.00847329,0.00848869
230,551,-11,0.000511,0.536413,0.536413
230,558,13,0.10566,10.8644,10.8649
231,5,25,125.007,459.909,476.595
231,8,25,125.007,464.213,480.75
231,12,25,125.007,462.374,478.975
231,49,25,125.007,462.313,478.916
231,275,25,125.007,462.3,478.903
231,368,23,52.4856,140.759,150.226
231,369,23,49.046,324.997,328.677
231,370,15,1.77682,137.363,137.374
231,371,-15,1.77682,12.7286,12.852
231,372,-15,1.77682,12.7009,12.8246
231,374,15,1.77682,137.361,137.372
231,760,-13,0.10566,1.72198,1.72522
231,816,11,0.000511,4.24818,4.24818
231,817,-11,0.000511,4.03688,4.03688
232,5,25,125.002,713.02,723.894
232,34,25,125.002,728.457,739.104
232,198,25,125.002,729.359,739.993
232,435,25,125.002,729.632,740.262
232,770,25,125.002,729.651,740.281
232,806,25,125.002,730.527,741.145
232,1054,23,92.0256,564.689,572.139
232,1055,23,18.0804,168.036,169.006
232,1056,11,0.000511,373.342,373.342
232,1057,-11,0.000511,198.797,198.797
232,1058,-11,0.000511,197.199,197.199
232,1060,11,0.000511,373.342,373.342
232,1061,11,0.000511,369.717,369.717
232,1063,-11,0.000511,197.199,197.199
232,1064,-11,0.000511,197.199,197.199
232,1066,11,0.000511,369.717,369.717
232,1853,13,0.10566,4.82648,4.82763
232,2324,11,0.000511,1.01336,1.01336
232,2325,-11,0.000511,4.53119,4.53119
232,2347,11,0.000511,2.14624,2.14624
232,2348,-11,0.000511,3.24562,3.24562
233,5,25,125.001,144.622,191.156
233,8,25,125.001,270.928,298.374
233,12,25,125.001,195.693,232.209
233,20,25,125.001,198.403,234.497
233,31,25,125.001,199.572,235.487
233,47,25,125.001,199.552,235.47
233,57,25,125.001,204.777,239.914
233,196,25,125.001,204.495,239.674
233,552,25,125.001,205.145,240.229
233,723,23,89.6402,141.607,167.594
233,724,23,26.6422,67.5718,72.6344
233,725,13,0.10566,62.7827,62.7827
233,726,-13,0.10566,104.811,104.811
233,727,13,0.10566,62.7136,62.7137
233,729,-13,0.10566,104.811,104.811
233,1633,11,0.000511,7.99236,7.99236
233,1687,11,0.000511,0.0803671,0.0803687
233,1688,-11,0.000511,0.0127251,0.0127353
234,5,25,124.999,109.123,165.929
234,8,25,124.999,109.204,165.982
234,12,25,124.999,109.344,166.075
234,67,25,124.999,109.334,166.068
234,209,25,124.999,109.283,166.035
234,289,25,124.999,109.311,166.053
234,516,25,124.999,109.338,166.071
234,697,23,24.0557,29.2488,37.8705
234,698,23,91.5327,89.7616,128.201
234,704,15,1.77682,100.326,100.341
234,705,-15,1.77682,27.8026,27.8593
234,706,15,1.77682,88.2411,88.259
234,708,-15,1.77682,27.7474,27.8042
234,1272,-13,0.10566,26.1566,26.1568
234,1343,-15,1.77682,18.8939,18.9773
234,1575,-13,0.10566,1.55882,1.5624
234,1643,11,0.000511,1.08688,1.08688
235,5,25,124.998,102.461,161.625
235,8,25,124.998,97.3652,158.444
235,12,25,124.998,112.134,167.924
235,23,25,124.998,111.586,167.558
235,31,25,124.998,107.11,164.612
235,55,25,124.998,107.001,164.541
235,76,25,124.998,107.165,164.648
235,118,25,124.998,107.178,164.656
235,148,25,124.998,106.973,164.522
235,178,23,11.2042,21.7165,24.4365
235,179,23,92.3957,105.295,140.086
235,188,11,0.000511,67.3218,67.3218
235,189,-11,0.000511,72.7639,72.7639
235,190,11,0.000511,40.5456,40.5456
235,192,-11,0.000511,72.7235,72.7235
235,193,11,0.000511,40.5456,40.5456
235,195,-11,0.000511,72.7235,72.7235
235,442,11,0.000511,0.13211,0.132111
235,443,-11,0.000511,0.0762189,0.0762206
235,500,11,0.000511,0.0539223,0.0539247
235,501,-11,0.000511,0.194725,0.194726
235,516,-13,0.10566,3.80413,3.8056
235,530,13,0.10566,0.276982,0.29645
236,5,25,125.004,33.4437,129.4
236,8,25,125.004,94.6226,156.778
236,12,25,125.004,95.3838,157.239
236,17,25,125.004,93.0054,155.807
236,26,25,125.004,96.3321,157.816
236,37,25,125.004,96.465,157.897
236,47,25,125.004,95.6891,157.424
236,69,25,125.004,95.7734,157.475
236,627,25,125.004,95.488,157.302
236,818,23,90.8632,50.277,103.846
236,819,23,21.5959,48.9,53.4565
236,846,11,0.000511,9.26299,9.26299
236,847,-11,0.000511,44.1935,44.1935
236,1570,11,0.000511,0.0594814,0.0594836
236,1571,-11,0.000511,0.0424633,0.0424664
236,1630,11,0.000511,1.97486,1.97486
236,1631,-11,0.000511,1.1521,1.1521
237,5,25,125.003,92.85,155.714
237,8,25,125.003,95.3081,157.192
237,16,25,125.003,94.6315,156.783
237,61,25,125.003,93.6145,156.171
237,93,25,125.003,93.2648,155.961
237,434,25,125.003,92.9015,155.744
237,570,23,37.0287,58.6083,69.3257
237,571,23,69.2653,51.6769,86.4187
237,601,11,0.000511,61.4964,61.4964
237,602,-11,0.000511,24.9223,24.9223
237,603,-11,0.000511,24.9199,24.9199
237,605,11,0.000511,61.4964,61.4964
237,1140,11,0.000511,0.208021,0.208021
237,1141,-11,0.000511,0.648569,0.648569
237,1182,11,0.000511,0.239465,0.239465
237,1183,-11,0.000511,4.00803,4.00803
237,1305,11,0.000511,2.10058,2.10058
237,1306,-11,0.000511,2.93855,2.93855
238,5,25,125,720.201,730.968
238,8,25,125,676.097,687.555
238,12,25,125,675.261,686.733
238,20,25,125,688.197,699.457
238,42,25,125,689.852,701.086
238,60,25,125,689.271,700.514
238,77,25,125,688.729,699.98
238,102,25,125,688.731,699.982
238,247,25,125,688.733,699.985
238,321,23,90.4564,473.372,481.937
238,322,23,33.336,215.484,218.048
238,323,13,0.10566,404.281,404.281
238,324,-13,0.10566,77.6559,77.6559
238,711,11,0.000511,0.123246,0.123247
238,712,-11,0.000511,0.0540513,0.0540537
239,5,25,124.998,165.714,207.571
239,8,25,124.998,163.416,205.741
239,12,25,124.998,166.131,207.904
239,17,25,124.998,169.554,210.649
239,23,25,124.998,168.689,209.953
239,48,25,124.998,168.653,209.925
239,83,25,124.998,168.623,209.9
239,184,25,124.998,168.942,210.157
239,235,23,82.3914,118.383,144.232
239,236,23,31.4729,57.9273,65.925
239,254,15,1.77682,31.8253,31.8749
239,255,-15,1.77682,34.0037,34.0501
239,568,11,0.000511,0.323517,0.323518
239,569,-11,0.000511,1.01894,1.01894
239,690,11,0.000511,5.9922,5.9922
240,5,25,124.999,52.8515,135.713
240,10,25,124.999,51.3861,135.149
240,19,25,124.999,53.124,135.819
240,104,25,124.999,53.5077,135.97
240,498,25,124.999,53.6716,136.035
240,654,23,91.2792,50.4671,104.302
240,655,23,27.6071,15.6473,31.7331
240,656,15,1.77682,32.9322,32.9801
240,657,-15,1.77682,71.2993,71.3214
240,1179,13,0.10566,8.41062,8.41128
240,1481,11,0.000511,6.84783,6.84783
240,1482,-11,0.000511,4.1926,4.1926
241,5,25,125.004,207.458,242.208
241,8,25,125.004,200.253,236.066
241,12,25,125.004,204.73,239.875
241,17,25,125.004,209.488,243.949
241,34,25,125.004,210.817,245.091
241,47,25,125.004,211.241,245.456
241,83,25,125.004,211.149,245.377
241,384,25,125.004,210.708,244.998
241,504,23,15.1136,30.2874,33.8489
241,505,23,92.2907,189.911,211.149
241,523,15,1.77682,46.1823,46.2165
241,524,-15,1.77682,164.923,164.932
242,5,25,125.004,938.954,947.239
242,8,25,125.004,932.415,940.757
242,12,25,125.004,933.804,942.133
242,59,25,125.004,935.901,944.212
242,98,25,125.004,935.945,944.256
242,468,25,125.004,935.709,944.021
242,635,23,26.3728,154.895,157.124
242,636,23,91.1982,781.595,786.898
242,663,13,0.10566,612.857,612.857
242,664,-13,0.10566,174.04,174.041
242,1394,11,0.000511,7.64113,7.64113
242,1395,-11,0.000511,9.37193,9.37193
242,1545,11,0.000511,0.0299893,0.0299936
242,1546,-11,0.000511,0.0362556,0.0362592
243,5,25,125.001,103.078,162.019
243,8,25,125.001,103.16,162.071
243,32,25,125.001,102.792,161.837
243,81,25,125.001,103.293,162.156
243,151,25,125.001,103.244,162.125
243,387,25,125.001,103.27,162.141
243,443,25,125.001,103.394,162.221
243,582,23,91.8758,85.3613,125.41
243,583,23,14.7166,33.7407,36.8105
243,610,15,1.77682,32.5186,32.5671
243,611,-15,1.77682,3.85342,4.24334
243,1283,11,0.000511,0.194326,0.194326
243,1284,-11,0.000511,0.677793,0.677793
243,1286,11,0.000511,0.262988,0.262989
243,1287,-11,0.000511,1.71686,1.71686
243,1335,11,0.000511,9.97904,9.97904
243,1336,-11,0.000511,4.64591,4.64591
244,5,25,124.991,41.0654,131.564
244,8,25,124.991,65.8242,141.264
244,19,25,124.991,66.7087,141.678
244,28,25,124.991,68.8206,142.685
244,307,25,124.991,68.6339,142.595
244,853,25,124.991,68.6051,142.581
244,906,25,124.991,68.9878,142.765
244,1174,23,88.6317,59.8889,106.969
244,1175,23,30.4698,18.7886,35.7969
244,1211,11,0.000511,14.1257,14.1257
244,1212,-11,0.000511,21.6712,21.6712
244,1213,11,0.000511,13.6894,13.6894
244,1215,-11,0.000511,21.671,21.671
244,1998,11,0.000511,0.517371,0.517371
244,1999,-11,0.000511,0.0147172,0.014726
244,2065,11,0.000511,0.912708,0.912708
244,2066,-11,0.000511,5.18547,5.18547
244,2094,11,0.000511,0.301065,0.301066
244,2095,-11,0.000511,0.706246,0.706247
244,2233,11,0.000511,0.0132131,0.013223
244,2234,-11,0.000511,0.0379549,0.0379584
244,2305,11,0.000511,4.22215,4.22215
244,2320,-11,0.000511,111.321,111.321
244,2409,11,0.000511,0.0244756,0.0244809
244,2410,-11,0.000511,0.0348973,0.034901
245,5,25,125,393.167,412.56
245,8,25,125,411.155,429.736
245,15,25,125,406.492,425.278
245,21,25,125,407.632,426.367
245,41,25,125,408.18,426.891
245,699,25,125,408.522,427.218
245,914,23,25.1841,384.135,384.959
245,915,23,16.56,38.8787,42.2586
245,916,13,0.10566,191.598,191.598
245,917,-13,0.10566,193.361,193.361
245,918,-13,0.10566,192.274,192.274
245,920,13,0.10566,191.178,191.178
245,1810,11,0.000511,1.7712,1.7712
245,1811,-11,0.000511,10.9162,10.9162
245,2185,11,0.000511,34.3855,34.3855
245,2186,-11,0.000511,4.14564,4.14564
246,5,25,125.003,290.387,316.149
246,8,25,125.003,258.561,287.193
246,12,25,125.003,266.914,294.735
246,17,25,125.003,269.236,296.84
246,26,25,125.003,269.264,296.865
246,37,25,125.003,269.339,296.933
246,95,25,125.003,269.518,297.096
246,124,23,90.3524,206.964,225.826
246,125,23,30.6126,64.36,71.2695
246,173,11,0.000511,53.7899,53.7899
246,174,-11,0.000511,17.4796,17.4796
247,5,25,125.014,613.417,626.026
247,10,25,125.014,613.27,625.882
247,16,25,125.014,613.221,625.834
247,27,25,125.014,613.314,625.926
247,38,25,125.014,613.388,625.998
247,89,25,125.014,613.387,625.997
247,426,25,125.014,613.402,626.011
247,555,23,92.7778,408.303,418.711
247,556,23,24.6811,205.826,207.3
247,595,11,0.000511,141.921,141.921
247,596,-11,0.000511,65.3794,65.3794
247,1362,11,0.000511,0.139042,0.139043
247,1363,-11,0.000511,0.0627778,0.0627799
248,5,25,124.997,1930.17,1934.21
248,8,25,124.997,1929.84,1933.89
248,12,25,124.997,1932.3,1936.34
248,24,25,124.997,1932.76,1936.79
248,405,25,124.997,1932.65,1936.68
248,528,23,38.8144,841.448,842.343
248,529,23,63.5511,1092.49,1094.34
248,530,11,0.000511,729.26,729.26
248,531,-11,0.000511,113.084,113.084
248,1309,11,0.000511,0.0067572,0.0067765
248,1310,-11,0.000511,0.0932649,0.0932663
249,5,25,124.99,391.025,410.516
249,8,25,124.99,391.083,410.571
249,12,25,124.99,391.136,410.621
249,17,25,124.99,391.548,411.014
249,30,25,124.99,392.006,411.45
249,38,25,124.99,392.005,411.449
249,59,25,124.99,391.994,411.438
249,137,25,124.99,392.012,411.456
249,239,25,124.99,391.982,411.427
249,303,23,91.0052,250.469,266.489
249,304,23,23.5352,143.014,144.938
249,305,11,0.000511,107.477,107.477
249,306,-11,0.000511,159.012,159.012
249,608,-13,0.10566,16.8796,16.88
249,733,11,0.000511,3.60527,3.60527
249,734,-11,0.000511,5.62826,5.62826
249,762,11,0.000511,5.32927,5.32927
249,785,11,0.000511,58.269,58.269
249,786,-11,0.000511,99.3507,99.3507
249,838,11,0.000511,0.0862059,0.0862075
249,839,-11,0.000511,5.00672,5.00672
250,5,25,124.999,137.241,185.633
250,8,25,124.999,141.624,188.897
250,20,25,124.999,140.915,188.366
250,222,25,124.999,140.587,188.121
250,525,25,124.999,140.636,188.158
250,945,25,124.999,140.677,188.188
250,1244,23,37.8741,64.2012,74.5402
250,1245,23,74.9003,85.4734,113.648
250,1246,13,0.10566,19.8976,19.8979
250,1247,-13,0.10566,54.6422,54.6423
250,2429,11,0.000511,31.2352,31.2352
250,2430,-11,0.000511,3.42951,3.42951
250,2573,11,0.000511,0.010501,0.0105134
250,2574,-11,0.000511,0.169804,0.169805
250,2676,11,0.000511,0.543827,0.543827
250,2677,-11,0.000511,0.902321,0.902322
250,2679,11,0.000511,0.0333173,0.0333213
250,2680,-11,0.000511,0.0306953,0.0306995
250,2716,11,0.000511,2.91009,2.91009
251,5,25,125.003,116.601,170.943
251,8,25,125.003,96.6261,157.995
251,12,25,125.003,70.9082,143.714
251,17,25,125.003,77.645,147.154
251,23,25,125.003,80.7074,148.793
251,30,25,125.003,77.0844,146.859
251,48,25,125.003,76.6427,146.628
251,228,25,125.003,76.5453,146.577
251,662,25,125.003,76.4172,146.51
251,870,23,91.9979,51.9585,105.656
251,871,23,13.5324,38.5475,40.8539
251,872,13,0.10566,63.2985,63.2986
251,873,-13,0.10566,42.3578,42.3579
251,874,-13,0.10566,16.9903,16.9907
251,876,13,0.10566,63.1123,63.1124
251,877,15,1.77682,20.8162,20.8919
251,878,-15,1.77682,19.8828,19.962
251,1793,11,0.000511,0.293812,0.293813
251,1794,-11,0.000511,0.0529385,0.052941
252,5,25,124.998,62.2695,139.65
252,8,25,124.998,65.547,141.142
252,12,25,124.998,70.3668,143.444
252,29,25,124.998,72.1731,144.338
252,106,25,124.998,72.6597,144.582
252,523,25,124.998,72.9945,144.751
252,672,23,93.6925,64.2139,113.586
252,673,23,23.1232,20.8945,31.165
252,706,13,0.10566,14.649,14.6494
252,707,-13,0.10566,16.5153,16.5156
252,708,13,0.10566,14.649,14.6494
252,710,-13,0.10566,16.5153,16.5156
252,711,-13,0.10566,16.5153,16.5156
252,713,13,0.10566,14.649,14.6494
252,1202,11,0.000511,1.51421,1.51421
252,1203,-11,0.000511,3.60148,3.60148
253,5,25,125,79.741,148.269
253,8,25,125,133.007,182.526
253,12,25,125,127.067,178.245
253,17,25,125,114.063,169.22
253,36,25,125,116.3,170.736
253,492,25,125,115.991,170.525
253,662,23,81.8218,55.0962,98.6428
253,663,23,28.5399,65.9741,71.8826
253,666,13,0.10566,61.9068,61.9069
253,667,-13,0.10566,9.97515,9.97571
254,5,25,125.001,515.22,530.167
254,8,25,125.001,515.124,530.073
254,12,25,125.001,517.521,532.403
254,17,25,125.001,517.469,532.353
254,23,25,125.001,517.576,532.457
254,128,25,125.001,517.606,532.485
254,152,25,125.001,517.607,532.487
254,232,25,125.001,517.597,532.477
254,362,25,125.001,517.622,532.501
254,455,23,90.0757,447.547,456.522
254,456,23,21.6409,72.8319,75.9791
254,457,15,1.77682,94.1258,94.1425
254,458,-15,1.77682,362.375,362.38
254,882,-11,0.000511,213.397,213.397
255,5,25,125.01,301.26,326.167
255,9,25,125.01,298.367,323.497
255,14,25,125.01,297.544,322.738
255,47,25,125.01,293.154,318.696
255,296,25,125.01,292.565,318.153
255,673,25,125.01,291.415,317.097
255,893,23,91.749,197.951,218.18
255,894,23,27.0938,95.1339,98.9168
255,935,13,0.10566,84.666,84.666
255,936,-13,0.10566,14.2504,14.2507
255,937,-13,0.10566,14.25,14.2504
255,939,13,0.10566,84.666,84.666
255,940,-13,0.10566,14.2499,14.2503
255,942,13,0.10566,84.666,84.666
256,5,25,125.005,245.073,275.113
256,8,25,125.005,252.157,281.441
256,12,25,125.005,251.052,280.452
256,17,25,125.005,251.055,280.454
256,26,25,125.005,251.049,280.449
256,40,25,125.005,251.062,280.461
256,57,25,125.005,251.062,280.461
256,135,25,125.005,251.057,280.457
256,174,23,90.6286,201.654,221.084
256,175,23,26.2963,53.2325,59.3733
256,176,15,1.77682,29.3215,29.3753
256,177,-15,1.77682,191.7,191.708
257,5,25,125.001,516.739,531.643
