i,j,id,m,pabs,e
9,30,25,124.978,312.791,336.835
9,135,25,124.978,312.828,336.869
9,252,25,124.978,312.738,336.785
9,417,25,124.978,312.829,336.87
9,542,23,67.5114,188.352,200.086
9,543,23,40.3759,130.69,136.784
9,544,13,0.10566,136.328,136.329
9,545,-13,0.10566,63.7573,63.7573
10,5,25,125.003,37.7505,130.579
10,8,25,125.003,211.682,245.835
10,12,25,125.003,218.161,251.435
10,20,25,125.003,220.342,253.331
10,27,25,125.003,219.527,252.622
10,42,25,125.003,219.801,252.86
10,236,25,125.003,219.773,252.836
10,306,23,13.0979,87.5235,88.4981
10,307,23,27.5447,162.013,164.338
10,308,13,0.10566,15.5848,15.5852
10,309,-13,0.10566,72.9129,72.9129
10,310,-13,0.10566,72.8883,72.8884
10,312,13,0.10566,15.5848,15.5852
10,664,11,0.000511,0.183135,0.183135
10,665,-11,0.000511,1.42493,1.42493
10,669,11,0.000511,0.0166979,0.0167057
10,670,-11,0.000511,0.547039,0.547039
10,764,11,0.000511,0.0250304,0.0250356
10,765,-11,0.000511,0.0801311,0.0801327
10,814,11,0.000511,1.78566,1.78566
10,815,-11,0.000511,27.0216,27.0216
11,5,25,125,135.298,184.203
11,8,25,125,140.341,187.938
11,12,25,125,140.326,187.926
11,60,25,125,140.317,187.92
11,94,25,125,140.265,187.881
11,101,25,125,140.511,188.065
11,204,25,125,140.33,187.93
11,235,25,125,140.274,187.888
11,769,25,125,140.377,187.965
11,1016,23,18.5921,24.2945,30.5923
11,1017,23,83.1286,133.625,157.372
11,1035,11,0.000511,85.8531,85.8531
11,1036,-11,0.000511,71.5193,71.5193
11,1037,11,0.000511,22.0377,22.0377
11,1039,-11,0.000511,71.4116,71.4116
11,1040,11,0.000511,22.0179,22.0179
11,1042,-11,0.000511,71.4112,71.4112
11,1043,11,0.000511,22.0175,22.0175
11,1045,-11,0.000511,71.4112,71.4112
11,1046,-11,0.000511,71.4102,71.4102
11,1048,11,0.000511,22.0175,22.0175
11,2181,11,0.000511,0.354068,0.354068
11,2182,-11,0.000511,0.224312,0.224313
12,5,25,124.996,564.457,578.131
12,8,25,124.996,579.796,593.117
12,12,25,124.996,592.057,605.108
12,17,25,124.996,592.271,605.317
12,167,25,124.996,592.272,605.318
12,185,25,124.996,592.271,605.317
12,250,23,18.4118,64.0338,66.6282
12,251,23,90.3295,531.061,538.689
12,252,11,0.000511,17.4561,17.4561
12,253,-11,0.000511,49.1721,49.1721
12,529,11,0.000511,45.9304,45.9304
12,530,-11,0.000511,13.8027,13.8027
12,563,11,0.000511,0.224164,0.224165
12,564,-11,0.000511,0.586447,0.586447
13,5,25,124.999,113.972,169.158
