i,j,id,m,px,py,pz
831,602,-11,0.000511,1.0095,-6.35611,23.4159
831,603,-11,0.000511,1.00848,-6.35106,23.3969
831,605,11,0.000511,6.96521,3.46944,85.7281
831,1199,11,0.000511,-0.0150425,0.296275,-10.6763
831,1671,11,0.000511,-0.212767,-0.0560539,-1.55652
831,1672,-11,0.000511,-0.00824828,-0.00329105,-0.0788371
832,213,13,0.10566,21.9632,-10.6094,-78.6012
832,214,-13,0.10566,-66.8578,-19.4013,-686.876
832,457,11,0.000511,0.0370696,0.0161826,-0.0976958
832,458,-11,0.000511,0.0979617,0.0517859,-0.232203
833,1350,13,0.10566,-15.7619,17.6103,-154.221
833,1351,-13,0.10566,67.5447,-11.2059,-125.185
833,1352,13,0.10566,-6.98916,9.12814,-56.8238
833,1354,-13,0.10566,67.2448,-11.1561,-124.629
833,2458,11,0.000511,-0.00217605,0.000795029,0.000917744
833,2459,-11,0.000511,-0.00924551,0.00650717,0.00767647
833,2639,11,0.000511,-0.0295857,-0.00924094,0.648606
833,2640,-11,0.000511,-0.0578896,-0.023081,1.26781
833,2678,11,0.000511,-0.393787,0.131952,-40.0389
833,2679,-11,0.000511,-1.15779,0.413349,-119.145
833,2769,11,0.000511,0.122528,0.0507072,0.0392775
833,2770,-11,0.000511,0.281649,0.116067,0.0917305
834,319,15,1.77682,-4.79473,7.28864,-3.87956
834,320,-15,1.77682,12.9092,-5.08254,22.2023
834,321,13,0.10566,1.99731,36.7309,-6.93279
834,322,-13,0.10566,2.3486,-53.8681,12.631
834,323,-13,0.10566,2.33821,-53.6925,12.5913
834,325,13,0.10566,1.99731,36.7309,-6.93278
834,326,13,0.10566,1.99702,36.7303,-6.93233
834,328,-13,0.10566,2.3382,-53.6925,12.5913
834,645,13,0.10566,-0.399613,0.819095,-0.276835
834,709,11,0.000511,0.0784898,0.277712,-187.197
834,710,-11,0.000511,0.104156,0.367738,-247.423
835,416,13,0.10566,-10.9281,9.27334,7.43743
835,417,-13,0.10566,22.6335,-26.3117,48.5584
835,724,11,0.000511,-0.0603544,0.0409906,0.164264
835,725,-11,0.000511,-5.37718,4.92848,15.5488
836,464,11,0.000511,-11.1273,41.4689,-256.527
836,465,-11,0.000511,18.0502,-41.2258,-229.405
836,924,13,0.10566,-4.81703,5.71226,-42.9701
836,963,-11,0.000511,1.19689,0.671829,-0.216688
836,1000,11,0.000511,0.114606,-0.0669384,-10.9794
836,1001,-11,0.000511,0.157254,-0.0909976,-15.041
837,378,13,0.10566,-4.94779,-2.01112,-349.436
837,379,-13,0.10566,-10.6884,5.65135,-62.8797
837,380,13,0.10566,-4.87157,-1.99971,-339.268
837,382,-13,0.10566,-10.685,5.64954,-62.8595
838,870,15,1.77682,50.4573,-7.07486,-86.0599
838,871,-15,1.77682,-38.3667,-14.3142,-66.4219
838,1804,11,0.000511,0.137318,-0.136649,-0.91459
838,1805,-11,0.000511,0.0293229,-0.0243925,-0.181566
839,461,11,0.000511,-25.9881,-27.0818,74.7669
839,462,-11,0.000511,39.7164,39.2157,98.2987
839,463,11,0.000511,-25.9881,-27.0818,74.7669
839,465,-11,0.000511,39.7164,39.2157,98.2987
839,1161,11,0.000511,-0.00219644,-0.0498639,18.1186
839,1162,-11,0.000511,-0.00121551,-0.0131906,5.35259
840,799,11,0.000511,-49.6492,3.12728,-10.2789
840,800,-11,0.000511,-3.65016,-31.7518,-87.3712
840,1839,11,0.000511,-0.00262846,-0.00649728,0.195764
840,1840,-11,0.000511,-0.0235357,-0.0130542,0.738096
841,392,15,1.77682,-17.2211,8.98607,-77.5191
841,393,-15,1.77682,4.60686,-3.972,-744.329
841,702,11,0.000511,-0.265893,0.116714,7.38074
841,703,-11,0.000511,-0.0559507,0.0244504,1.55175
841,819,11,0.000511,-0.115931,-0.0763402,-1.97392
841,820,-11,0.000511,-0.0191354,-0.00932431,-0.278666
842,405,13,0.10566,7.63705,-24.8956,-90.8614
842,406,-13,0.10566,-3.27651,-7.26197,-1.30828
843,238,11,0.000511,-19.6677,-48.6112,-79.0058
843,239,-11,0.000511,-20.26,2.07482,-4.02183
843,240,11,0.000511,-19.6648,-48.5913,-78.9618
843,242,-11,0.000511,-20.2589,2.0747,-4.02161
843,243,11,0.000511,-19.6642,-48.5899,-78.9596
843,245,-11,0.000511,-20.2589,2.0747,-4.02161
843,637,13,0.10566,5.9731,0.532581,-8.89058
843,691,13,0.10566,5.91031,-0.991309,-18.3941
844,691,11,0.000511,45.0201,-0.239932,62.2645
844,692,-11,0.000511,-39.0863,-11.8251,128.626
844,693,-11,0.000511,-39.0859,-11.825,128.624
844,695,11,0.000511,45.0201,-0.239932,62.2645
844,696,-11,0.000511,-39.0611,-11.8175,128.543
844,698,11,0.000511,45.0201,-0.239932,62.2645
844,1232,13,0.10566,2.37025,0.389956,-3.32183
844,1427,15,1.77682,-0.142053,0.068753,-73.007
844,1511,13,0.10566,-0.365581,0.0211949,-62.1137
845,678,15,1.77682,11.0221,-22.4472,12.1086
845,679,-15,1.77682,0.00953523,-6.47477,12.2714
845,680,-15,1.77682,0.00945765,-6.47481,12.2713
845,682,15,1.77682,11.022,-22.447,12.1085
845,1574,-13,0.10566,0.750283,5.98611,2.00778
845,1578,13,0.10566,0.113482,-0.417479,0.0512196
846,625,15,1.77682,-15.7228,7.43956,21.0379
846,626,-15,1.77682,-26.4588,-7.12449,10.3851
846,1279,-11,0.000511,4.73887,-0.523481,0.26937
846,1459,11,0.000511,2.59624,-0.427882,-9.19634
846,1460,-11,0.000511,0.513795,-0.0846523,-1.82091
846,1648,11,0.000511,0.0917965,-0.00559436,2.31914
846,1649,-11,0.000511,0.133915,0.000409616,3.2188
846,1654,13,0.10566,-0.66114,-0.729545,-0.880202
847,772,13,0.10566,-9.50656,-6.19883,-0.616612
847,773,-13,0.10566,7.86326,10.9866,33.0458
847,774,-13,0.10566,7.8629,10.986,33.0441
847,776,13,0.10566,-9.50656,-6.19883,-0.616612
847,1777,-13,0.10566,-0.0391956,0.373327,0.802347
848,557,13,0.10566,33.7646,-5.94955,-65.9055
848,558,-13,0.10566,5.03282,-18.6067,-49.0555
848,1219,-15,1.77682,3.96596,-7.41369,-78.9747
848,1229,11,0.000511,-0.141463,0.224183,-0.620771
848,1230,-11,0.000511,-0.0601068,0.0749679,-0.179652
849,154,13,0.10566,10.9908,15.3068,-191.291
849,155,-13,0.10566,3.53867,-34.4883,-901.751
849,368,11,0.000511,0.0134702,-0.00169112,-0.0967781
849,369,-11,0.000511,0.0283892,0.00416423,-0.200653
850,1170,11,0.000511,14.6467,5.96264,10.5249
850,1171,-11,0.000511,-4.2735,4.45857,13.5426
850,2063,-13,0.10566,0.767779,0.145146,1.77364
850,2068,11,0.000511,0.168875,-0.0970789,0.272311
850,2134,-13,0.10566,0.455494,-0.0718178,-0.014911
850,2414,11,0.000511,1.69347,0.957378,132.005
850,2415,-11,0.000511,0.854629,0.476932,66.6412
851,650,11,0.000511,6.89483,-4.90714,13.4604
851,651,-11,0.000511,-17.0543,-4.01789,-1.29156
851,652,-11,0.000511,-16.7942,-3.9323,-1.21332
851,654,11,0.000511,6.89283,-4.90571,13.4565
851,655,-11,0.000511,-16.7812,-3.92986,-1.21161
851,657,11,0.000511,6.89281,-4.90571,13.4565
851,658,11,0.000511,6.89176,-4.90512,13.4562
851,660,-11,0.000511,-16.781,-3.92981,-1.2116
851,661,11,0.000511,6.86866,-4.88872,13.4117
851,663,-11,0.000511,-16.781,-3.92981,-1.2116
851,664,-11,0.000511,-16.6083,-3.88948,-1.1992
851,666,11,0.000511,6.86866,-4.88872,13.4117
851,1501,11,0.000511,0.190167,-0.0162872,-0.674752
851,1502,-11,0.000511,0.695064,-0.061534,-2.44691
851,1564,11,0.000511,0.00536243,0.00111494,0.0358216
851,1565,-11,0.000511,0.0144302,-0.000605261,0.0907519
851,1650,11,0.000511,0.0291277,-0.00654677,-0.0625073
851,1651,-11,0.000511,0.0344716,-0.00890445,-0.079239
852,612,15,1.77682,29.0105,-10.8086,-79.7585
852,613,-15,1.77682,-1.15789,9.88036,-10.4815
852,614,-15,1.77682,2.71017,10.8869,-14.5452
852,616,15,1.77682,26.2795,-9.78576,-72.2579
853,782,15,1.77682,1.86206,6.20503,2.75549
853,783,-15,1.77682,-1.83144,6.05008,121.559
853,784,-15,1.77682,-1.83225,6.04878,121.545
853,786,15,1.77682,1.86203,6.20494,2.75546
853,1366,11,0.000511,1.13357,2.27033,0.548987
853,1369,-13,0.10566,-0.910399,3.54583,58.4673
853,1638,11,0.000511,-0.00920817,-0.0325292,-0.778398
853,1639,-11,0.000511,-0.0398895,-0.133794,-3.25123
853,1661,11,0.000511,0.0200149,0.0195653,-0.0869384
853,1662,-11,0.000511,0.012312,0.0111713,-0.0602795
853,1725,11,0.000511,-0.0977032,-0.00511535,0.851058
853,1726,-11,0.000511,-0.319843,-0.0112882,2.85027
