i,j,id,m,px,py,pz
750,614,-13,0.10566,-3.9473,-16.8847,22.9852
750,1091,-11,0.000511,1.03281,-0.249301,-13.9759
751,308,11,0.000511,-1.06794,-34.0024,13.4931
751,309,-11,0.000511,-8.78021,19.3714,157.998
751,310,15,1.77682,23.5288,-11.2183,78.8908
751,311,-15,1.77682,0.261869,-4.9422,5.35287
751,611,13,0.10566,0.47681,-0.222054,1.82595
752,423,15,1.77682,5.38638,24.3406,-203.322
752,424,-15,1.77682,-21.2134,33.6852,-22.6676
752,800,-11,0.000511,-2.33176,3.49263,-1.81402
752,975,11,0.000511,-0.0766855,0.0530761,1.15307
752,976,-11,0.000511,0.00391649,0.0074954,0.0518503
752,994,11,0.000511,-0.00991775,0.00492931,-1.94606
752,995,-11,0.000511,-0.174892,0.0925281,-34.5951
752,1046,11,0.000511,-0.0580072,-0.122147,8.41382
752,1047,-11,0.000511,-0.0647373,-0.0356282,2.53791
752,1063,11,0.000511,0.103291,0.0243819,-12.5987
752,1064,-11,0.000511,0.0370026,0.00232506,-3.64292
753,303,15,1.77682,-42.374,-6.2383,-93.2069
753,304,-15,1.77682,31.2657,22.8641,-18.4137
